variant,score_thr,quartile,kept_fraction_min,kept_fraction_max,n_frames,mean_recall
warm,0.25,Q1,0.527587890625,0.72265625,184,0.8902217046238785
warm,0.25,Q2,0.724609375,0.77001953125,184,0.9251164596273291
warm,0.25,Q3,0.77001953125,0.8447265625,184,0.9065217391304349
warm,0.25,Q4,0.844970703125,0.881591796875,183,0.839344262295082
warm,0.3,Q1,0.527587890625,0.724609375,181,0.9128343418398667
warm,0.3,Q2,0.725341796875,0.77001953125,180,0.9405555555555556
warm,0.3,Q3,0.77001953125,0.8447265625,180,0.895648148148148
warm,0.3,Q4,0.844970703125,0.881591796875,180,0.8185185185185184
warm,0.35,Q1,0.527587890625,0.724609375,180,0.9172949735449736
warm,0.35,Q2,0.725341796875,0.769775390625,179,0.9409151370045227
warm,0.35,Q3,0.77001953125,0.844482421875,179,0.9171322160148977
warm,0.35,Q4,0.8447265625,0.881591796875,179,0.812290502793296
warm,0.4,Q1,0.527587890625,0.725341796875,178,0.9221018369894775
warm,0.4,Q2,0.72607421875,0.76953125,177,0.9397363465160076
warm,0.4,Q3,0.769775390625,0.843994140625,177,0.9092278719397364
warm,0.4,Q4,0.84423828125,0.881591796875,177,0.8275894538606402
warm_compensated,0.25,Q1,0.523681640625,0.75146484375,184,0.9066532953761215
warm_compensated,0.25,Q2,0.751708984375,0.782958984375,184,0.8929153726708075
warm_compensated,0.25,Q3,0.783203125,0.84521484375,184,0.8752717391304349
warm_compensated,0.25,Q4,0.84521484375,0.884521484375,183,0.8122950819672133
warm_compensated,0.3,Q1,0.523681640625,0.75146484375,181,0.9159650969043234
warm_compensated,0.3,Q2,0.751708984375,0.78271484375,180,0.9100330687830689
warm_compensated,0.3,Q3,0.78271484375,0.84521484375,180,0.8763888888888889
warm_compensated,0.3,Q4,0.84521484375,0.884521484375,180,0.7946296296296296
warm_compensated,0.35,Q1,0.523681640625,0.75146484375,180,0.9150947971781307
warm_compensated,0.35,Q2,0.75146484375,0.7822265625,179,0.9149640861931364
warm_compensated,0.35,Q3,0.782470703125,0.84521484375,179,0.8898510242085662
warm_compensated,0.35,Q4,0.84521484375,0.884521484375,179,0.7959031657355679
warm_compensated,0.4,Q1,0.523681640625,0.75146484375,178,0.9284131442839308
warm_compensated,0.4,Q2,0.75146484375,0.781982421875,177,0.9170702179176754
warm_compensated,0.4,Q3,0.7822265625,0.84423828125,177,0.902165725047081
warm_compensated,0.4,Q4,0.8447265625,0.884521484375,177,0.8285310734463276
warm_range_adaptive,0.25,Q1,0.425048828125,0.627197265625,184,0.8726470841959973
warm_range_adaptive,0.25,Q2,0.62744140625,0.657958984375,184,0.9258389406487233
warm_range_adaptive,0.25,Q3,0.657958984375,0.7958984375,184,0.9174689440993788
warm_range_adaptive,0.25,Q4,0.7958984375,0.834228515625,183,0.8465391621129327
warm_range_adaptive,0.3,Q1,0.425048828125,0.62841796875,181,0.8937275278435498
warm_range_adaptive,0.3,Q2,0.62841796875,0.658203125,180,0.9286353615520282
warm_range_adaptive,0.3,Q3,0.658447265625,0.7958984375,180,0.9284126984126984
warm_range_adaptive,0.3,Q4,0.796875,0.834228515625,180,0.832962962962963
warm_range_adaptive,0.35,Q1,0.425048828125,0.62841796875,180,0.8872949735449737
warm_range_adaptive,0.35,Q2,0.62841796875,0.658203125,179,0.9407067482486478
warm_range_adaptive,0.35,Q3,0.658203125,0.7958984375,179,0.9374567704176643
warm_range_adaptive,0.35,Q4,0.7958984375,0.834228515625,179,0.8339851024208568
warm_range_adaptive,0.4,Q1,0.425048828125,0.62841796875,178,0.9011436597110754
warm_range_adaptive,0.4,Q2,0.628662109375,0.657958984375,177,0.951484171823155
warm_range_adaptive,0.4,Q3,0.658203125,0.79541015625,177,0.9249798224374497
warm_range_adaptive,0.4,Q4,0.795654296875,0.834228515625,177,0.8454802259887004
