variant,score_thr,frame_subset,n_frames,n_base_dets,n_warm_dets,n_matched,recall,precision,iou_mean,iou_min,score_diff_mean,score_diff_max,center_dist_mean_m,center_dist_max_m,base_inference_s_mean,warm_inference_s_mean,speedup_pct
warm,0.25,all,789,2556,2563,2307,0.9025821596244131,0.9001170503316426,0.8306042002711815,0.5009271502494812,0.0541332487192927,0.5930013656616211,0.12869482598355098,0.8942136764526367,0.0897617726875953,2.2839588055290347,-2444.4671346655214
warm,0.25,cold,4,15,15,15,1.0,1.0,1.00000003973643,0.9999998211860657,0.0,0.0,0.0,0.0,0.0930594801902771,0.2553209066390991,-174.36313432768904
warm,0.25,warm,785,2541,2548,2292,0.9020070838252656,0.8995290423861853,0.8294955887563565,0.5009271502494812,0.054487523907246184,0.5930013656616211,0.12953706960909778,0.8942136764526367,0.0897449690824861,2.2942958139310217,-2456.4617575635866
warm,0.3,all,789,2453,2441,2214,0.9025682837342031,0.9070053256861942,0.834363019401788,0.5009271502494812,0.049413778931037086,0.42390432953834534,0.12578971942490455,0.8942136764526367,0.0897617726875953,2.2839588055290347,-2444.4671346655214
warm,0.3,cold,4,13,13,13,1.0,1.0,1.0000000183398907,0.9999998211860657,0.0,0.0,0.0,0.0,0.0930594801902771,0.2553209066390991,-174.36313432768904
warm,0.3,warm,785,2440,2428,2201,0.9020491803278688,0.9065074135090609,0.8333847000077874,0.5009271502494812,0.049705636780243576,0.42390432953834534,0.1265326846009717,0.8942136764526367,0.0897449690824861,2.2942958139310217,-2456.4617575635866
warm,0.35,all,789,2362,2326,2150,0.9102455546147333,0.9243336199484092,0.8365110859482787,0.5009271502494812,0.04676153742989828,0.3987264335155487,0.12367412164179219,0.8942136764526367,0.0897617726875953,2.2839588055290347,-2444.4671346655214
warm,0.35,cold,4,13,13,13,1.0,1.0,1.0000000183398907,0.9999998211860657,0.0,0.0,0.0,0.0,0.0930594801902771,0.2553209066390991,-174.36313432768904
warm,0.35,warm,785,2349,2313,2137,0.9097488292890592,0.9239083441418072,0.8355165346515586,0.5009271502494812,0.04704600162577506,0.3987264335155487,0.12442646772571511,0.8942136764526367,0.0897449690824861,2.2942958139310217,-2456.4617575635866
warm,0.4,all,789,2254,2220,2062,0.9148181011535049,0.9288288288288288,0.8407690978304607,0.504155695438385,0.042797379968931785,0.350627064704895,0.11907391093746297,0.8942136764526367,0.0897617726875953,2.2839588055290347,-2444.4671346655214
warm,0.4,cold,4,12,12,12,1.0,1.0,1.0000000198682149,0.9999998211860657,0.0,0.0,0.0,0.0,0.0930594801902771,0.2553209066390991,-174.36313432768904
warm,0.4,warm,785,2242,2208,2050,0.9143621766280107,0.9284420289855072,0.8398370143843861,0.504155695438385,0.04304790121753042,0.350627064704895,0.11977092895270666,0.8942136764526367,0.0897449690824861,2.2942958139310217,-2456.4617575635866
warm_compensated,0.25,all,789,2556,2559,2289,0.8955399061032864,0.8944900351699883,0.8331182646720157,0.5025937557220459,0.05242479576612467,0.595920205116272,0.12410741986632803,1.0859941244125366,0.0897617726875953,2.2773352748087605,-2437.088124066737
warm_compensated,0.25,cold,4,15,15,15,1.0,1.0,1.00000003973643,0.9999998211860657,0.0,0.0,0.0,0.0,0.0930594801902771,0.25501716136932373,-174.0367352664066
warm_compensated,0.25,warm,785,2541,2544,2274,0.8949232585596222,0.8938679245283019,0.8320174614064192,0.5025937557220459,0.05277060576458195,0.595920205116272,0.12492607039315078,1.0859941244125366,0.0897449690824861,2.287640080482337,-2449.0454828501065
warm_compensated,0.3,all,789,2453,2428,2197,0.8956379942927029,0.9048599670510709,0.8358563981818025,0.5025937557220459,0.04710967652245332,0.42082473635673523,0.12192201810055121,1.0859941244125366,0.0897617726875953,2.2773352748087605,-2437.088124066737
warm_compensated,0.3,cold,4,13,13,13,1.0,1.0,1.0000000183398907,0.9999998211860657,0.0,0.0,0.0,0.0,0.0930594801902771,0.25501716136932373,-174.0367352664066
warm_compensated,0.3,warm,785,2440,2415,2184,0.8950819672131147,0.9043478260869565,0.8348793528237186,0.5025937557220459,0.047390091263658396,0.42082473635673523,0.12264774439876878,1.0859941244125366,0.0897449690824861,2.287640080482337,-2449.0454828501065
warm_compensated,0.35,all,789,2362,2314,2123,0.8988145639288738,0.9174589455488332,0.839409995853929,0.5065463185310364,0.043796371133384755,0.4164387285709381,0.11864359062989745,1.0859941244125366,0.0897617726875953,2.2773352748087605,-2437.088124066737
